,tag,type,author,doi,journal,pages,title,volume,year,publisher,url,institution,number,mendeley-tags,booktitle,edition,month,address,editor,arc-citations,arc-source
10,Kakutani1950,article,"Kakutani, Shizuo and Oxtoby, John C.",10.3792/pia/1195573106,Annals of Mathematics,580--590,{Construction of a non-separable invariant extension of the Lebesgue measure space},52,1950,,,,3,,,,,,,0,mendeley
11,Iv2012,article,"Iv, Part",,,1--34,{Part IV Department of Health and Human Services AGENCY :},77,2012,,,,57,,,,,,,0,mendeley
12,Graversen2001,article,"Graversen, S. E. and Peskir, G. and Shiryaev, A. N.",,Theory Probab. Appl.,41--50,{Stopping brownian motion without anticipation as close as possible to its ultimate maximum},45,2001,,,,1,,,,,,,0,mendeley
13,Madore2017,article,"Madore, David A.",,,1--10,{A zoo of ordinals},,2017,,http://www.personal.psu.edu/t20/sosoa/typos.pdf,,,Set Theory,,,,,,0,mendeley
14,Peters2023,article,"Peters, Ole",10.1017/S1748499523000131,Annals of Actuarial Science,215--218,{Insurance as an ergodicity problem},17,2023,,,,,Peters,,,,,,0,mendeley
15,Appel2009,techreport,"Appel, David",,,,{Using Catastrophe Bonds to Infer Risk Premiums/Profit Loads/Reinsurance Costs},,2009,,,CAS Seminar on Ratemaking,,,CAS SEMINAR ON RATEMAKING,,,,,0,mendeley
16,Leverty2012,article,"Leverty, J. Tyler and Grace, Martin F.",10.1111/j.1539-6975.2011.01443.x,Journal of Risk and Insurance,751--783,{Dupes or Incompetents? An Examination of Management's Impact on Firm Distress},79,2012,,,,3,,,,,,,0,mendeley
17,Ghirardato1998,article,"Ghirardato, Paolo and Klibanoff, Peter and Marinacci, Massimo",10.1016/S0304-4068(97)00047-5,Journal of Mathematical Economics,405--420,{Additivity with multiple priors},30,1998,,,,4,Marinacci,,,,,,0,mendeley
18,ShapirYYYY,article,"Shapiro, Alexander",,,10--11,{Errata for Lectures on Stochastic Programming},12,,,,,c,,,,,,,0,mendeley
19,Camenisch2011,article,"Camenisch, Jan L. and Kohlweiss, Markulf and Soriente, Claudio",10.1007/978-3-642-19379-8,,481--500,{An accumulator based on bilinear maps and efficient revocation for anonymous credentials},6571,2011,,http://link.springer.com/10.1007/978-3-642-19379-8,,,,,,,,,0,mendeley
20,Cook2000,article,"Cook, Richard I.",,Cognitive Technologies Laboratory; University of Chicago,1--5,{How Complex Systems Fail},,2000,,,,,,,,,,,0,mendeley
21,Bullard2010,article,"Bullard, James",,Federal Reserve Bank of St. Louis Review,,"{Seven faces of"" the peril""}",,2010,,http://ideas.repec.org/a/fip/fedlrv/y2010isepp339-352nv.92no.5.html,,,,,,,,,0,mendeley
22,Koike2024,article,"Koike, Takaaki and Lin, Liyuan and Wang, Ruodu",10.1287/moor.2022.0121,Mathematics of Operations Research,1--32,{Joint Mixability and Notions of Negative Dependence},,2024,,,,,WangR,,,,,,0,mendeley
23,Smirnov1980,article,"Smirnov, Ilia",,,,{Overview of Stemming Algorithms},,1980,,,,,,,,,,,0,mendeley
24,Ernst2022,article,"Ernst, Philip A. and Kagan, Abram M. and Rogers, L. CG",10.1214/22-ECP467,Electronic Communications in Probability,1--11,{The least favorable noise},27,2022,,,,28,,,,,,,0,mendeley
25,Tucker1962,article,"Tucker, Howard G.",10.2140/pjm.1962.12.1125,Pacific Journal of Mathematics,1125--1129,{Absolute continuity of infinitely divisible distributions},12,1962,,,,3,,,,,,,0,mendeley
26,MacminYYYY,article,"Macminn, Richard and Garven, James R.",,,,{On Corporate Insurance},,,,,,,,,,,,,0,mendeley
27,Schaller2008,article,"Schaller, P. and Temnov, G.",,Computational Methods in Applied Mathematics,187--200,{Efficient and Precise Computation of Convolutions: Applying FFTs to Heavy Tailed Distributions},8,2008,,,,2,FFT,,,,,,0,mendeley
28,Reinhart2011,article,"Reinhart, C. and Kirkegaard, J. and Sbrancia, B.",,,23--25,{Financial repression redux},,2011,,http://mpra.ub.uni-muenchen.de/31641/,,June,,,,,,,0,mendeley
29,Vazza2007,article,"Vazza, Diane and Aurora, Devi and Erturk, Erkan and Kraemer, Nicholas and Kesh, Sudeep and Torres, Jacinto and Services, Ratings",,,1--47,{Global Fixed Income : Annual 2006 Global Corporate Default Study And Rating Transitions 2006 Recap},,2007,,,,,,,,,,,0,mendeley
30,Taylor2010,article,"Taylor, Greg",,Variance,96--104,{The Chain Ladder and Tweedie Distributed Claims Data},3,2010,,,,1,,,,,,,0,mendeley
31,Zolotarev1964,article,"Zolotarev, V. M.",10.1137/1109090,Theory of Probability & Its Applications,653--662,{The First Passage Time of a Level and the Behavior at Infinity for a Class of Processes with Independent Increments},9,1964,,,,4,,,,,,,0,mendeley
32,SancheYYYY,article,"Sanchez, Maxwell and Fisher, Justin",,,,"{Proof of Proof: A Decentralized, Trustless, Transparent, and Scalable Means of Inheriting Proof-of-Work Security}",,,,https://www.veriblock.com/wp-content/uploads/2016/05/PoP-White-Paper-v1.0n.pdf,,,,,,,,,0,mendeley
33,Mildenhall2021,article,"Mildenhall, Stephen J.",,submitted,,{Similar Risks Have Similar Prices: An Exact and Useful Quantification},,2021,,,,,,,,,,,0,mendeley
34,Grossi2005,book,"Grossi, Patricia and Kunreuther, Howard C.",10.1007/b100669,,268,{Catastrophe Modeling: A New Approach to Managing Risk},,2005,Springer,,,,,Catastrophe Modeling: A New Approach to Managing Risk,,,,,0,mendeley
35,DeNavasWalt2009,article,"DeNavas-Walt, C. and Proctor, B. D. and Smith, J. C.",,published September,,"{Income, poverty, and health insurance coverage in the United States: 2009}",,2009,,"http://books.google.com/books?hl=en&lr=&id=tSarjG0YRi8C&oi=fnd&pg=PA268&dq=Income,+Poverty+and+Health+Insurance+Coverage+in+the+United+States+:+2010&ots=39BFHEskwq&sig=jz2Ffhzkq6A8699evy139qRqAN8",,,,,,,,,0,mendeley
36,Filipovic2008,article,"Filipović, Damir and Svindland, Gregor",10.1007/s00780-008-0069-5,Finance and Stochastics,423--439,{Optimal capital and risk allocations for law- and cash-invariant convex functions},12,2008,,,,3,"Risk Sharing,Svindland",,,,,,0,mendeley
37,Keynes1936,book,"Keynes, John Maynard",,,,"{General theory of employment, interest and money, collected works volume VII}",,1936,"Macmillan, Cambridge University Press",,,,,,,,,,0,mendeley
38,Heras2012,article,"Heras, Antonio and Balbás, Beatriz and Vilar, J. L.",10.2143/AST.42.1.2160745,ASTIN Bulletin,325--342,{Conditional tail expectation and premium calculation},42,2012,,http://journals.cambridge.org/abstract_S0515036100001100,,1,,,,,,,0,mendeley
39,Borovkov2003,book,"Borovkov, Alexandr A.",10.2307/2316129,,,{Probability Theory.},,2003,Springer,,,,"Book,Prob",,Fourth,,,,0,mendeley
40,Fracasso2023,article,"Fracasso, Laís Martins and Müller, Maria Fernanda and Ramos, Henrique Pinto and Righi, Marcelo Brutti Righi",10.1016/j.qref.2023.10.002,The Quarterly Review of Economics and Finance,182--199,{Is there a risk premium? Evidence from thirteen measures},92,2023,,,,December,,,,,,,0,mendeley
41,Svindland2013,article,"Svindland, Gregor",,,1--9,{A note on law invariance and convex order monotonicity},,2013,,,,September,Svindland,,,,,,0,mendeley
42,Muller1998,article,"Müller, Alfred",10.1016/S0304-4068(97)00035-9,Journal of Mathematical Economics,229--239,{Comparing risks with unbounded distributions},30,1998,,,,2,,,,,,,0,mendeley
43,Lozier2010,book,"Lozier, Daniel W.",,,,{NIST Handbook of Mathematical Functions Modern},5,2010,Cambridge University Press,,,Surf Iii,Book,"SIAM Journal on Numerical Analysis, SIAM Journal on Mathematical Analysis, Mathematics of Computation, Methods and Applications of Analysis, and the NBS Journal of Research",,,,,0,mendeley
44,Brehm2002,article,"Brehm, Paul J.",,Casualty Actuarial Society Forum,1--23,{Correlation and the Aggregation of Unpaid Loss Distributions},Fall,2002,,,,,CMM,,,,,,0,mendeley
45,Pichler2017,article,"Pichler, Alois",10.1007/s10479-017-2397-3,Annals of Operations Research,251----275,{A Quantitative Comparison of Risk Measures},254,2017,,,,,Risk Measures,,,,,,0,mendeley
46,Cummins2015,article,"Cummins, J. David and Weiss, Mary A.",,,1--3,{Mergers and Acquisitions in the Global Insurance Industry: Valuation Effects},40,2015,,,,16,Cummins,,,,,,0,mendeley
47,Jeong2013,article,"Jeong, Sarah",10.2139/ssrn.2294124,Available at SSRN 2294124,1--36,"{The Bitcoin Protocol as Law, and the Politics of a Stateless Currency}",,2013,,http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2294124,,2008,,,,,,,0,mendeley
48,Maccheroni2005,article,"Maccheroni, Fabio and Marinacci, Massimo",10.1214/009117904000001062,Annals of Probability,1171--1178,{A strong law of large numbers for capacities},33,2005,,,,3,"Marinacci,PIR",,,,,,0,mendeley
49,Mekler2018,article,"Mekler, Alexandr",,ARXIV,,"{Conditional expectations and interpolation of linear operators on ordered ideals between $L^1(0,1)$ and $L^\infty (0,1)$}",1,2018,,,,,,,,,,,0,mendeley
50,BarLev2023,article,"Bar-Lev, Shaul K.",10.3390/math11204343,Mathematics,,{The Exponential Dispersion Model Generated by the Landau Distribution—A Comprehensive Review and Further Developments},11,2023,,,,20,EDM-GLM,,,,,,0,mendeley
51,Merz2015,article,"Merz, Michael and Wüthrich, Mario V.",,,1--45,{Claims run-off uncertainty: the full picture},,2015,,,,,,,,,,,0,mendeley
52,Mildenhall2018,article,"Mildenhall, Stephen J.",,,,{Every law invariant coherent risk measure has a natural allocation},,2018,,,,,,,,,,,0,mendeley
53,Stone1975,article,"Stone, James M.",10.2307/252115,The Journal of Risk and Insurance,340----341,{A Theory of Capacity and the Insurance of Catastrophe Risks (Part I) - Author's Reply},42,1975,,http://www.jstor.org/stable/252115?origin=crossref,,2,,,,,,,0,mendeley
54,Hendrick2014,article,"Hendrick, Gregory S. and Mcgavick, Michael S. and Newsome, Paul and Cohen, Jay A. and Gelb, Jay H. and Shields, Meyer and Stanley, Morgan and Llc, Co and Byrnes, Ryan",,,1--33,{XL Group Plc},,2014,,,,Xl,,,,,,,0,mendeley
55,Chen2009,article,"Chen, Hua and Cox, Samuel H.",10.1111/j.1539-6975.2009.01313.x,Journal of Risk and Insurance,727--751,{Modeling Mortality With Jumps: Applications to Mortality Securitization},76,2009,,http://doi.wiley.com/10.1111/j.1539-6975.2009.01313.x,,3,,,,sep,,,0,mendeley
56,Riedel2004,article,"Riedel, Frank",10.1016/j.spa.2004.03.004,Stochastic Processes and their Applications,185--200,{Dynamic coherent risk measures},112,2004,,,,2,PMIR,,,,,,0,mendeley
57,Bey2010,article,"Bey, Month T. Bill and Bey, Year Bill",,,3--6,{Aon benfield weekly},,2010,,,,,,,,,,,0,mendeley
58,Jackwerth1996,article,"Jackwerth, Jens Carsten and Rubenstein, Mark",,Journal of Finance,1611----1631,{Recovering Probability Distributions from Option Prices},51,1996,,,,5,,,,,,,0,mendeley
59,Supervisors2012,article,"Supervisors, Insurance",,,,{International Association of Insurance Supervisors Reinsurance and Financial Stability},,2012,,,,July,,,,,,,0,mendeley
60,Rampini2013,article,"Rampini, Adriano a and Sufi, Amir and Viswanathan, S. ""Vish""",,Working Paper,,{Dynamic Risk Management},,2013,,,,,CMM,,,,,,0,mendeley
61,Segal1992,article,"Segal, Uzi",10.1007/978-94-011-2952-7_7,,165--183,{The Independence Axiom Versus the Reduction Axiom: Must We Have Both?},,1992,,,,,,,,,,,0,mendeley
62,Thomann2013,article,"Thomann, Christian",10.1111/j.1539-6975.2012.01478.x,Journal of Risk and Insurance,65--94,{The Impact of Catastrophes on Insurer Stock Volatility},80,2013,,http://doi.wiley.com/10.1111/j.1539-6975.2012.01478.x,,1,,,,mar,,,0,mendeley
63,AonBenfield2010,article,{Aon Benfield},,,,{Homeowners ROE Outlook 2010},,2010,,,,October,Aon,,,,,,0,mendeley
64,BlierWong2025,article,"Blier-Wong, Christopher and Cossette, Hélène and Marceau, Étienne",10.1016/j.insmatheco.2025.02.006,Insurance Mathematics and Economics,119--136,{Efficient evaluation of risk allocations},122,2025,Elsevier B.V.,https://doi.org/10.1016/j.insmatheco.2025.02.006,,,PMIR,,,,,,0,mendeley
65,Sustek2010,article,"Sustek, Jan",,,99--110,{An elementary proof that almost all real numbers are normal},1,2010,,,,,,,,,,,0,mendeley
66,Ibragimov2007,article,"Ibragimov, Rustam and Walden, Johan",10.1016/j.jbankfin.2006.11.014,Journal of Banking and Finance,2551--2569,{The limits of diversification when losses may be large},31,2007,,,,8,Tails,,,,,,0,mendeley
67,Koblitz1987,article,"Koblitz, Neal",10.1090/S0025-5718-1987-0866109-5,Mathematics of Computation,203--203,{Elliptic curve cryptosystems},48,1987,,http://www.ams.org/jourcgi/jour-getitem?pii=S0025-5718-1987-0866109-5,,177,,,,,,,0,mendeley
68,LUMBERMENSMUTUALCASUALTYCOMPANY2004,article,{LUMBERMENS MUTUAL CASUALTY COMPANY},,,,"{LUMBERMENS MUTUAL CASUALTY COMPANY Statutory Financial Statements 2003, 2002}",2002,2004,,,,,,,,,,,0,mendeley
69,Hong2009,article,"Hong, L. Jeff",,Operations Research,118--130,{Estimating Quantile Sensitivities},57,2009,,,,1,CMM,,,,,,0,mendeley
70,Buffet2015,techreport,"Buffet, Warren",,,2--31,{Berkshire Hathaway Shareholder's Letter},,2015,,,,,,,,,,,0,mendeley
71,Preiss1982,article,"Preiss, David",,,,{Gateaux differentiable functions are somewhere Frechet differentiable},,1982,,,,,,,,,,,0,mendeley
72,Amarante2015,article,"Amarante, Massimiliano and Ghossoub, Mario and Phelps, Edmund",10.1016/j.jmateco.2015.03.008,Journal of Mathematical Economics,61--78,{Ambiguity on the insurer's side: The demand for insurance},58,2015,Elsevier Ltd,http://dx.doi.org/10.1016/j.jmateco.2015.03.008,,,Ghossoub,,,,,,0,mendeley
73,DavenporYYYY,incollection,"Davenport, Mark A. and Duarte, Marco F.",,,1--68,{Introduction to Compressed Sensing},,,,,,,,,,,,,0,mendeley
74,Eling2017,article,"Eling, Martin and Jia, Ruo",10.1111/rmir.12072,Risk Management and Insurance Review,,{Recent Research Developments Affecting Nonlife Insurance—The CAS Risk Premium Project 2014 Update},,2017,,,,,,,,,,,0,mendeley
75,BarLev1986,article,"Bar-Lev, Shaul K. and Enis, Peter",10.1214/aos/1176350173,The Annals of Statistics,1507--1522,{Reproducibility and Natural Exponential Families with Power Variance Functions},14,1986,,,,4,EDM-GLM,,,,,,0,mendeley
76,Postman1969,unpublished,"Postman, Neil",,,,{Bullshit and the Art of Crap-Detection},,1969,,,,,,,,,,,0,mendeley
77,Iqbal2023,article,"Iqbal, Mohsin and Tantivasadakarn, Nathanan and Verresen, Ruben and Campbell, Sara L. and Dreiling, Joan M. and Figgatt, Caroline and Gaebler, John P. and Johansen, Jacob and Mills, Michael and Moses, Steven A. and Pino, Juan M. and Ransford, Anthony and Rowe, Mary and Siegfried, Peter and Stutz, Russell P. and Foss-Feig, Michael and Vishwanath, Ashvin and Dreyer, Henrik",,,1--26,{Creation of Non-Abelian Topological Order and Anyons on a Trapped-Ion Processor},,2023,,http://arxiv.org/abs/2305.03766,,,,,,,,,0,mendeley
78,Segal1990,article,"Segal, Uzi",10.2307/2938207,Econometrica,349,{Two-Stage Lotteries without the Reduction Axiom},58,1990,,,,2,,,,,,,0,mendeley
79,Crouhy2006,book,"Crouhy, Michel and Galai, Dan and Mark, Robert",,,,{The Essentials of Risk Management},,2006,,,,,,,,,,,0,mendeley
80,Buhlmann1978,techreport,"Bühlmann, Hans and Jewell, William S.",10.1002/9780470555996.ch7,,,{Operational Risk},,1978,,,"University of California, Berkeley",,Bühlmann,,,,,,0,mendeley
81,Tallarini2000,article,"Tallarini, Thomas D. Jr",,Journal of Monetary Economics,507--532,{Risk-sensitive real business cycles},45,2000,,,,,,,,,,,0,mendeley
82,Maltenfort2019,article,"Maltenfort, Michael",10.1080/00029890.2019.1604054,American Mathematical Monthly,628--634,{Decimal Selection Functions},126,2019,,,,7,,,,,,,0,mendeley
83,Binnun2010,article,"Binnun, Sharon",,,,{Presentation to Investors Introduction of Participants},,2010,,,,March,,,,,,,0,mendeley
84,Bull2013,article,"Bull, A. D.",,arXiv preprint arXiv:1312.5911,1--48,{Estimating time-changes in noisy Lévy models},70,2013,,http://arxiv.org/abs/1312.5911,,,,,,,,,0,mendeley
85,Hales2010,article,"Hales, T. C. and Arthur, James",,Proc. of Int. Congress of Math,1--13,{The Work of Ngo Bao Chau},,2010,,http://arxiv.org/abs/1012.0382,,,,,,,,,0,mendeley
86,Moakher2006,article,"Moakher, Maher and Batchelor, P. G.",,Visualization and Processing of Tensor Fields,,{Symmetric positive-definite matrices: From geometry to applications and visualization},,2006,,http://link.springer.com/chapter/10.1007/3-540-31272-2_17,,,,,,,,,0,mendeley
87,Chen2024,article,"Chen, Yuyu and Hu, Taizhong and Wang, Ruodu and Zou, Zhenfeng",,,1--28,{Dominance between combinations of infinite-mean Pareto random variables},,2024,,http://arxiv.org/abs/2404.18467,,,WangR,,,,,,0,mendeley
88,Venter2012,article,"Venter, Gary G.",,,1--19,{Value of Risk Reduction},2,2012,,,,,"CMM,Venter",,,,,,0,mendeley
89,Forster2022,article,"Forster, Thomas",,,,{A Tutorial on (mainly countable) Ordinals},,2022,,,,,Set Theory,,,,,,0,mendeley
90,Wang2022,article,"Wang, Bohan",,,648--654,{The Theory and Practice of Capital Allocation},,2022,,,,,CMM,,,,,,0,mendeley
91,BourovYYYY,article,"Bourova, Evgenia and Ramsay, Ian and Ali, Paul",10.1111/rmir.12284,Risk Management and Insurance Review,331--358,"{Unaffordable, untrustworthy, or unnecessary? Reasons for foregoing building, home contents, and comprehensive car insurance in disaster-prone Australia}",,,,,,,JRI2024,,,,,,0,mendeley
92,Mainik2013,article,"Mainik, Georg and Embrechts, Paul",10.1017/S1748499512000280,Annals of Actuarial Science,26--45,{Diversification in heavy-tailed portfolios: properties and pitfalls},7,2013,,http://www.journals.cambridge.org/abstract_S1748499512000280,,01,,,,,,,0,mendeley
93,Ray2012,article,"Ray, Kaushik and Wu, Q. M. Jonathan and Basu, Gaurab and Panigrahi, Prasant K.",10.1109/ICSAI.2012.6223437,2012 International Conference on Systems and Informatics (ICSAI2012),1975--1980,{Random matrix route to image denoising},,2012,Ieee,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6223437,,,,,,may,,,0,mendeley
94,Noether2016,article,"Noether, Shen and Mackenzie, Adam and {Research Lab}, The Monero",10.5195/LEDGER.2016.34,Ledger,1--18,{Ring Confidential Transactions},1,2016,,http://ledger.pitt.edu/ojs/index.php/ledger/article/view/34,,,,,,,,,0,mendeley
95,Mera2013,article,"Mera, Xavier",,Quatertly J of Austrian Economics,75--93,{Comparative advantage and uncertainty bearing},16,2013,,,,1,,,,,,,0,mendeley
96,Nielsen2011,article,"Nielsen, Frank",,,1--8,{Chernoff information of exponential families},,2011,,http://arxiv.org/abs/1102.2684,,,,,,,,,0,mendeley
97,Datta2001,article,"Datta, Gauri Sankar and Ghosh, Malay and Mukerjee, Rahul",10.1177/0008068320010112,Calcutta Statistical Association Bulletin,125--126,{Some New Results on Probability Matching Priors},51,2001,,,,1-2,Jewson,,,,,,0,mendeley
98,Harrington2008,article,"Harrington, Scott E. and Danzon, Patricia M. and Epstein, Andrew J.",10.1016/j.jbankfin.2007.09.009,Journal of Banking and Finance,157--169,"{""Crises"" in medical malpractice insurance: Evidence of excessive price-cutting in the preceding soft market}",32,2008,,,,1,,,,,,,0,mendeley
99,SchiegYYYY,article,"Schiegl, Magda",,,1--25,{A Model Study about the Applicability of the Chain Ladder Method},,,,,,,,,,,,,0,mendeley
100,Renaud2013,article,"Renaud, J. F.",,arXiv preprint arXiv:1306.4619,1--17,{On the time spent in the red by a refracted Lévy risk process},,2013,,http://arxiv.org/abs/1306.4619,,,,,,,,,0,mendeley
101,MetzleYYYY,article,"Metzler, Adam and Scott, Alexandre",10.3390/risksxx010005,,,{Article 2 Importance Sampling in the Presence of PD-LGD Correlation 4},,,,www.mdpi.com/journal/risks,,,,,,,,,0,mendeley
102,Kielholz2000,article,"Kielholz, Walter",10.1111/1468-0440.00044,Geneva Papers on Risk and Insurance,4--24,{The Cost of Capital for Insurance Companies},25,2000,,http://www.blackwell-synergy.com/links/doi/10.1111/1468-0440.00044,,1,,,,,,,0,mendeley
103,Gowers2000,article,"Gowers, Wt",,Mathematics: frontiers and perspectives,1--17,{The two cultures of mathematics},,2000,,http://books.google.com/books?hl=en&lr=&id=qjVaD1OQbxEC&oi=fnd&pg=PA65&dq=The+Two+Cultures+of+Mathematics&ots=ozDwZhTwJF&sig=Da-X7FrO_gKcQhxcc5ISEGTxP3c,,ii,,,,,,,0,mendeley
104,Marinacci1994,unpublished,"Marinacci, Massimo",,,,{The existence of conditional expectations implies additivity: a simple proof},,1994,,,,,Marinacci,,,,,,0,mendeley
105,Crainich2015,article,"Crainich, David and Eeckhoudt, Louis R. and Hammitt, James K.",10.1007/s11238-014-9475-7,Theory and Decision,403--413,{The value of risk reduction: new tools for an old problem},79,2015,,www.ieseg.fr,,3,,,,,,,0,mendeley
106,AMBest2019,techreport,{A. M. Best},,,,{AM Best Compares BCAR Model Output with Solvency II Capital Requirements},,2019,,,,,CMM,,,,,,0,mendeley
107,Denuit2022,article,"Denuit, Michel M. and Robert, Christian Y.",10.1080/10920277.2020.1855199,North American Actuarial Journal,143--160,{Collaborative Insurance with Stop-Loss Protection and Team Partitioning},26,2022,Routledge,https://doi.org/10.1080/10920277.2020.1855199,,1,,,,,,,0,mendeley
108,Stuart2004,article,"Stuart, Christopher E. and Abraham, Paul",10.1016/j.jmaa.2004.06.030,Journal of Mathematical Analysis and Applications,,{Generalizations of the Nikodym boundedness and Vitali-Hahn-Saks theorems},,2004,,,,,,,,,,,0,mendeley
109,Bellhouse2011,article,"Bellhouse, David R.",10.1111/j.1467-985X.2010.00684.x,Journal of the Royal Statistical Society. Series A: Statistics in Society,823--832,{A new look at Halley's life table},174,2011,,,,3,,,,,,,0,mendeley
110,Lecomte2006,techreport,"Lecomte, David",,,,{Weak topologies 1 Preliminaries from general topology},,2006,,,,,,,,,,,0,mendeley
111,Bauerle2006,article,"Bäuerle, Nicole and Müller, Alfred",10.1016/j.insmatheco.2005.08.003,Insurance: Mathematics and Economics,132--148,{Stochastic orders and risk measures: Consistency and bounds},38,2006,,,,1,PIR,,,,,,0,mendeley
112,Cherny2007,article,"Cherny, Alexander S. and Kupper, Michael",,SSRN Electronic Journal,1--26,{Divergence utilities},,2007,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1023525,,,Cherny,,,,,,0,mendeley
113,Daykin1994,book,"Daykin, C. D. and Pentikäinen, T. and Pesonen, M.",,,,{Practical Risk Theory for Actuaries},,1994,Chapman and Hall,,,,,,,,,,0,mendeley
114,GarminFenixandGarmin2013,article,{Garmin - Fenix} and Garmin,,,,{Owner ' s Manual},,2013,,,,May,,,,,,,0,mendeley
115,Langtangen2016,book,"Langtangen, Hans Petter",,,,{A Primer on Scientific Programming with Python},,2016,Springer,,,,Book,,Fifth,,,,0,mendeley
116,Sigrist2010,article,"Sigrist, F. and Stahel, W. A.",10.2143/AST.41.2.2136992,arXiv preprint arXiv:1011.1796,673--710,{Using the censored gamma distribution for modeling fractional response variables with an application to loss given default},41,2010,,http://arxiv.org/abs/1011.1796,,2,,,,,,,0,mendeley
117,Muratov2020,article,"Muratov, M. A. and Rubstein, B. ZA",,arXiv,1--22,{Equimeasurable symmetric spaces of measurable function},,2020,,,,,,,,,,,0,mendeley
118,Cheridito2006,article,"Cheridito, Patrick and Delbaen, Freddy and Kupper, Michael",10.1214/EJP.v11-302,Electronic Journal of Probability,57--106,{Dynamic monetary risk measures for bounded discrete-time processes},11,2006,,,,,"Delbaen,PMIR",,,,,,0,mendeley
119,Klartag2007,article,"Klartag, Bo'az and Vershynin, Roman",10.1007/s11856-006-0007-1,Israel Journal of Mathematics,193--207,{Small ball probability and Dvoretzky's Theorem},157,2007,,http://www.springerlink.com/index/10.1007/s11856-006-0007-1,,1,,,,jan,,,0,mendeley
120,Peltzman1980,article,"Peltzman, Sam",10.1080/08913819308443311,Journal of Law and Economics,209--287,{The growth of government},23,1980,,,,2,,,,,,,0,mendeley
121,Yen2003,techreport,"Yen, George",,,,{California Earthquke Zoning and Probable Maximum Loss Evaluation Program},,2003,,,California Department of Insurance,May,,,,,,,0,mendeley
122,Gibbs2018,article,"Gibbs, Alison L. and Su, Francis Edward",,,419--435,{On Choosing and Bounding Probability Metrics},70,2018,,https://www.math.hmc.edu/$\sim$su/papers.dir/metrics.pdf,,3,,,,,,,0,mendeley
123,Chang1997,article,"Chang, J. T. and Pollard, David",10.1111/1467-9574.00056,Statistica Neerlandica,287--317,{Conditioning as disintegration},51,1997,,,,3,"PMIR,Prob",,,,,,195,mendeley
124,Kuchler1994,article,"Küchler, Uwe and Sørensen, Michael",10.1016/0378-3758(94)90206-2,Journal of Statistical Planning and Inference,211--237,{Exponential families of stochastic processes and Lévy processes},39,1994,,,,2,EDM-GLM,,,,,,0,mendeley
125,Asimit2013,article,"Asimit, A. V. and Badescu, A. M. and Tsanakas, A.",,European Actuarial Journal,1--46,{Optimal risk transfers in insurance groups},,2013,,http://link.springer.com/article/10.1007/s13385-013-0068-6,,January,Tsanakas,,,,,,0,mendeley
126,Hayne1994,article,"Hayne, Roger M.",,Proceedings of the Casualty Actuarial Society,,"{Extended Service Contracts , An Overview}",LXXXI,1994,,,,155,,,,,,,0,mendeley
